Gene	state
H3f3b	-1
Qars	1
Fam178b	1
Ddx3y	1
Ltbp4	-1
Odf2	1
Exosc7	-1
Ncor1	1
Lmna	-1
Ptp4a2	-1
Fgfbp1	-1
Gas5	1
Gm13145	1
Lactb2	1
Tmppe	1
Rnf167	1
Bag2	-1
Ccl25	1
Swt1	1
Brd8	1
Ap3b1	1
Trps1	1
Frmd4a	1
G3bp2	-1
Etnk1	-1
Maged1	1
Gm13247	1
Nr6a1	-1
Gldc	-1
Car13	1
Fmr1nb	1
Aldoart1	-1
Mycn	-1
Pip5k1b	1
Cep170b	-1
mt-Nd4	1
Adam19	1
Apobec3	1
Msh2	1
Fundc2	-1
Gstm3	1
Snapc3	-1
Fam53b	1
Eif4e2	1
Aspscr1	1
Phf6	-1
Cenpk	-1
Agtrap	1
Gm7221	1
Leprot	1
Nup37	-1
Prep	1
Slfn9	1
Prrg4	-1
Rab38	1
Tk1	1
Vcan	1
Gm13929	1
Stt3a	1
Mt1	1
Ppp2r2c	1
Slc38a1	-1
S100a6	-1
Tnfrsf19	1
l7Rn6	-1
Lin37	1
Gm6368	-1
Timm21	-1
0610031J06Rik	1
Spc24	1
Klf7	-1
Prss35	1
Scpep1	1
9030624J02Rik	1
Gm14074	1
Mettl20	-1
Mapk3	-1
Dhrs7	-1
Hdac2	1
Gpat2	1
Dkc1	1
Ninl	1
Tex264	1
Ticrr	1
Ppat	1
Zp3	1
Rdm1	1
Clns1a	-1
Gm13147	1
Slc9b1	-1
Sbno1	1
Guk1	-1
Crb3	-1
Nhp2	-1
Chd7	-1
Irak3	1
Atg4b	1
Enoph1	1
Pcsk6	1
Psmb10	-1
Ehmt1	-1
Zbtb38	1
Cox6a1	1
H2afy	1
Gcnt2	1
Mtus2	1
Mdfic	1
Scd1	1
Gm13152	1
Ctdspl2	1
Ubxn1	1
Snx1	1
Pard6b	-1
Zfp820	1
Lama3	1
Exosc10	1
Stk30	1
Eras	-1
Atxn10	-1
Mpp1	1
Ptpn14	-1
Taf7	1
Zfp97	1
Cyp2b23	1
Gm10324	1
Sat1	1
Lgals9	-1
Wdr45	1
Zfhx2	1
Decr2	1
Patl2	1
Crip2	-1
Bcas3	1
Gm10169	-1
Uri1	-1
Mpzl1	1
Tnfrsf21	1
Mpzl2	1
Fam162a	-1
Perp	-1
Anxa2	-1
Gls	-1
1500009L16Rik	-1
Zcchc8	1
Clcn5	-1
Acta1	-1
Meg3	-1
Mlec	1
Tubb3	1
Mpv17	1
Napepld	1
Dnajc7	1
Ola1	-1
Paip2	-1
Impa2	1
Naprt1	-1
Arl4a	-1
Ngdn	1
Csde1	1
Zfp263	1
Poglut1	1
Gpa33	1
Snx10	1
Uap1l1	1
Adi1	1
A830080D01Rik	1
Ankhd1	1
Zfp292	1
Bid	1
Ckmt1	1
Uggt1	1
Ppp6c	1
Rpap1	1
Ppp1r9a	-1
Myh9	-1
Ccar1	1
Susd2	1
Mme	1
Rnf17	1
Gjb5	1
Anapc5	1
Mnd1	-1
Chm	1
Ankrd45	1
Usp48	1
Psip1	-1
Ttc3	1
Zranb3	1
Gclm	-1
Pycr1	1
Git2	1
Gpr107	1
Polr2a	1
Hadh	1
Kdm2b	1
Eif2b5	1
Ube2l6	1
Peg3	-1
Mrps2	1
Tug1	1
Aldh7a1	-1
Uqcrb	1
Fam63a	1
Ebp	1
Tecr	1
Rnh1	1
Osbpl1a	1
Anp32a	1
Nup210	1
Mfsd1	1
Lpp	-1
Got1	1
Krt8	-1
Gcsh	1
Lig1	1
Lef1	-1
Rbm5	1
Atl2	-1
Gm20939	1
Pigl	1
Gpc3	-1
Gm9625	-1
Kif5a	1
Ptpn6	1
Calu	1
Snrpa1	-1
Slc29a1	-1
Sfmbt2	-1
Hk1	1
Rnf4	1
Tor3a	-1
Arl6ip1	1
C130073F10Rik	1
Lgals1	-1
Atp6v1a	1
Nufip2	-1
Rnf114	1
Ubqln1	-1
Pecam1	1
Med12l	1
Rbm25	1
Gm4737	1
Kdm3b	1
Cenpm	1
Ackr3	1
Snx18	1
Sumo1	1
Mtf2	1
Ppil2	1
Cuta	1
Hormad2	1
Klhl13	-1
Skap2	1
Creb3l2	1
Rpsa	1
Tomm70a	-1
Cachd1	1
Pttg1	1
Cbs	1
Slc7a1	1
Mob3c	1
Ak1	1
Mphosph6	1
Map2k6	1
Trim8	1
Cdyl2	1
Sccpdh	1
Uchl5	-1
Plec	-1
Gng2	-1
Trmt44	1
Papolg	1
B4galt6	1
Itpripl1	-1
Ahsa1	1
Abcg2	-1
Cars	1
Sfxn3	1
Nars	1
Mtr	1
Terf1	1
Eef1b2	-1
Rdh13	1
Rps19	1
Aebp2	1
Cyb5	-1
Myl12a	-1
Scp2	1
Galk1	-1
Mllt10	1
Tenm4	1
Ttc39b	1
Sod1	-1
Trpm7	1
Copg1	1
Ptpn3	-1
Abcb1b	1
Cryz	1
Gm14325	1
Ypel2	1
Pdia5	1
Map3k5	1
Rplp0	-1
Dpysl2	-1
Fbxl5	1
Naga	1
Larp1	-1
AI464131	1
Lefty1	-1
Plekha1	-1
Kars	-1
Tigd2	1
Mccc1	1
Dcp2	1
Maoa	-1
Rbms1	-1
Asb8	1
Tmem57	-1
Gm14444	1
Nmrk1	1
Cryzl1	1
Epb4.1l4b	1
Wdr62	1
Mgrn1	1
Gnpat	-1
S100a10	-1
Gtf2i	-1
Nfyb	-1
Sfxn2	1
Cbfa2t2	1
Rab11fip5	1
Sdhb	1
Gm13422	-1
Fem1b	-1
Tsix	1
Fbln1	1
Sdc1	-1
Plekhh1	1
Mov10	1
Gli2	1
Grhl3	1
Ept1	-1
Ddah2	1
Prim1	1
Ncl	-1
Cldn4	-1
Dvl3	1
Gtf2h1	1
Zmym4	1
Ubr4	1
Sox12	-1
Dtymk	1
Bmp4	-1
2410089E03Rik	1
2010204K13Rik	-1
Ptdss1	1
Fbxo15	1
Hmgxb4	-1
Kcnk1	-1
Nfkb1	-1
Lrrc2	1
Exoc6b	1
Usp46	1
Tgfbr3	1
Bhlhe40	-1
Zfp819	1
Arhgap17	1
Cnot1	1
Dazap2	1
Fam169a	-1
Lpcat3	1
Nsun2	-1
Cep112	1
Mcm3	1
Nlrp4f	1
Pdpk1	1
Xrcc1	1
Fcho2	1
Nptn	1
Akt2	1
Phf3	1
Tmem14c	1
Dpagt1	1
Strada	1
Pnpla3	1
Shmt2	1
Zwint	1
Fut10	1
Bzw2	-1
Ctnnd2	1
Kif20a	1
Ptgis	-1
Ngfrap1	-1
Stk3	1
Nr2c2	1
Tnfrsf12a	-1
mt-Rnr1	-1
Tmem50b	1
Auh	1
Liph	1
Smim15	-1
Poc1a	1
Thoc2	1
Aif1l	-1
Acot9	1
Iqgap1	1
Mllt4	-1
Pdcl3	-1
Nsf	1
Cox7a1	1
Arid1a	-1
Phf21a	-1
Isy1	-1
Psmc3	1
Rnf7	1
Itga6	-1
Porcn	-1
Pck2	1
Tsc22d1	1
Zbtb10	1
Ralb	1
Arhgap8	-1
Atad2b	1
Psma7	-1
Pygb	1
Me1	1
Gjc1	1
Gm21399	-1
Cox5a	1
2410141K09Rik	1
Dnaja1	1
Tpd52l1	1
Gm13242	1
Hormad1	1
Zfp652	-1
Abi2	-1
Dnmt1	1
Zfp61	1
Gnai2	1
Kdm5a	1
Cdv3	1
Eef1a1	1
Itga3	-1
Pcna	1
Glipr2	-1
Crtap	1
Nsmce2	1
Aim2	1
Rcn3	-1
Gnb1	-1
Zic3	-1
Usp11	-1
Cep55	1
Sde2	1
Tex19.1	1
Dag1	-1
Usp22	-1
Mt2	1
Acot2	-1
Pgrmc1	-1
Pttg1ip	1
Psmg2	-1
Tmem231	1
Rtn4	1
Prss8	-1
Srpk2	-1
Gm8566	-1
Snap47	-1
Cept1	1
Clk1	1
Txnl4a	-1
Gm14412	1
Pom121	-1
H2-Bl	1
Gm2381	1
Lamb1	-1
Dmxl1	1
Mid1ip1	-1
Sptlc2	1
Cdc20	-1
C030039L03Rik	1
Capn2	-1
Rtel1	1
Yif1a	1
Alg11	1
Saal1	1
Pls1	-1
Apbb2	1
Dixdc1	1
Ccs	1
Lmo7	1
Mcm7	1
D17Wsu104e	1
Zfp758	1
Pak1	-1
Nceh1	1
Prps2	-1
Tmem199	1
Hmgn1	-1
Chchd4	1
Pcdh15	1
Gm13092	-1
Zfp640	1
Cobl	1
Pcf11	1
Ier3	-1
Cabin1	1
Hectd1	-1
Gm12346	-1
Cenpi	1
Nabp1	-1
Tbc1d7	-1
Commd10	1
Tex13	1
Brca2	1
Actg1	-1
Clybl	1
Tpk1	1
Cyb5b	1
Wfdc2	1
Qtrt1	1
Pdia4	1
Tcf4	1
