Gene	state
Gm7180	-1
Usp3	1
Rap1b	-1
Synj2bp	-1
Ctc1	1
Ldlr	1
Gm16580	-1
Trim12a	1
Lad1	-1
Trappc2l	1
Prpf18	1
Gltscr2	1
Dld	-1
Cdk2ap2	1
Ppil4	1
Gm10269	1
1810030O07Rik	1
Vamp4	1
Polm	1
Rpsa-ps10	1
Sfswap	1
Mtch1	-1
Alkbh1	1
Mrpl45	1
Pim3	-1
Zfp955a	1
Purb	-1
Rbm14	1
Gart	-1
Kpna4	-1
Atrn	1
Prmt1	-1
Rbpsuh-rs3	-1
Thap4	1
Mapk1ip1	-1
Mcm4	1
Chchd1	-1
Brcc3	-1
Slc25a44	1
Sin3a	1
Napg	1
Trappc6a	-1
Ppp4r2	1
Bend4	-1
Patl1	1
Ap3b2	1
Tvp23b	1
Fbxo33	1
Ercc6	-1
Svil	1
Knstrn	-1
Tuba1c	1
Emc7	1
Nktr	-1
Luc7l	1
Usp24	1
Caprin1	-1
Ccdc130	1
Tmed8	-1
Mrps25	-1
Usp33	1
8430427H17Rik	1
Gm5884	1
Tmem59	1
Atg4c	1
R3hcc1	1
Sec61b	1
Eif5b	-1
Pgls	-1
Ankrd32	1
Bad	1
Prdm2	1
Pnrc2	1
Nedd8	-1
Cd164	1
Synj1	1
Yap1	-1
Sgpl1	1
Tpx2	-1
Tcp1	-1
Cops5	1
Bre	-1
Trappc1	1
Pramel7	1
Rps18-ps1	-1
Tra2a	1
Tm9sf2	1
Flrt3	-1
Secisbp2l	1
Fam96a	1
Dph6	1
Utp11l	-1
4933434E20Rik	-1
D17H6S56E-5	-1
Pnkd	1
Ube2h	1
Tpp2	1
Fbxo18	1
Dctn5	1
Fabp5	-1
Prdm5	-1
Copb1	1
Gm15614	1
Cyb5r4	-1
Ttc7b	-1
C330027C09Rik	1
Ap1s1	1
Gtf2a2	-1
Slc38a10	1
Wwox	1
Mtch2	1
Arpp19	-1
Slc39a10	-1
Prex2	1
Zswim1	1
Ccser2	1
Bcor	1
Atp5s	-1
Traf2	1
Cog2	1
Txndc5	-1
Btbd11	1
Errfi1	-1
Bcl7b	1
Nek8	1
Tmem201	1
Tead4	1
Atp5e	-1
Dcun1d2	1
Akr1a1	1
Ctps	-1
Rasgrp4	-1
Mief1	1
Lrrc28	1
Rcan3	1
Alms1	1
Hadha	1
Rcbtb2	-1
Usf1	1
Polr3f	1
Gtpbp1	-1
Rap2c	-1
BC055324	-1
Cpsf2	-1
Pnldc1	1
Caprin2	1
Eif3m	-1
1110037F02Rik	1
Micu3	-1
Ptprg	1
Mier1	1
Zfp68	1
Eftud2	1
Cmss1	-1
Usp42	-1
Dhx35	1
Adnp2	1
Gtf3c5	1
Srek1ip1	1
Rps3	1
Agfg2	1
Usp13	1
Taf6	1
Gramd1a	1
Shq1	1
Chrac1	1
Brms1l	1
Hs1bp3	1
Bcas2	1
Wasl	-1
Gnb4	1
Wbscr27	-1
C030046E11Rik	-1
Depdc1a	-1
Ftl1	-1
Ap2b1	-1
Tbc1d17	1
Ift140	1
Fam83d	1
Zfp808	1
Rbm18	1
Psmb3	1
B4galt3	1
Safb	1
Mrpl19	1
Gzf1	-1
Aamdc	1
Trnau1ap	1
Sap30bp	1
Gaa	1
Gm10557	1
Ntmt1	-1
Arcn1	-1
Tmem242	-1
Cd109	1
Vrk1	1
Chmp1a	1
3110043O21Rik	1
Rpl13a	1
Ptrh2	-1
Ethe1	-1
Eif4a1	-1
Syncrip	-1
Zdhhc2	-1
Entpd7	1
3110082I17Rik	-1
Gm14295	1
Dxo	1
Psmd11	-1
Med26	1
Mcmbp	-1
Gins1	1
Nol10	-1
Fam199x	-1
Abcd4	1
Tmem107	1
Lrif1	-1
Map3k3	-1
Phb2	1
Trim25	1
Rps27a	1
Polr3e	-1
Zc3h10	-1
Yipf1	1
Kansl2	1
4930500J02Rik	1
Mycbp	-1
Farsb	-1
Smc2	1
Rbm10	1
Gm6483	1
Slx4	1
Slc39a9	1
Brip1	1
Hmmr	-1
Btbd7	1
Specc1l	1
Ica1	-1
Cyba	-1
Naa15	-1
Gm12989	-1
Gm7488	-1
Acd	1
Nfrkb	1
Taf1a	1
Commd9	1
Nrde2	1
Ddx56	1
G6pc3	-1
Rad1	-1
Rad51ap1	1
Plekhg1	1
Zfp931	-1
Zfp746	-1
Psme2	1
Fnbp1	1
Btf3	-1
Rbfox2	1
Ckap5	-1
Pdcd11	-1
Fblim1	1
Sart3	-1
Ergic3	1
Gna11	-1
Slc7a6	-1
Nudt2	-1
Rnf216	1
Adam9	-1
Thada	1
Mta2	1
Chmp2b	-1
Pggt1b	1
Melk	-1
Zbtb40	1
Rp2h	1
Rbbp8	1
Pibf1	1
Pikfyve	1
Ufsp2	-1
B230118H07Rik	-1
Rbms2	1
Ylpm1	1
Dlst	-1
Ppp2r1b	-1
Acot13	-1
Pycrl	-1
Rwdd1	-1
Tmem8	1
Pcyt1b	-1
Tyk2	1
Flot1	-1
Hyls1	1
Jmjd6	-1
Akap5	-1
Zfp131	1
Ppib	1
Map9	-1
Mtfp1	1
Fabp3-ps1	1
D930016D06Rik	1
Rad51d	-1
Stk11	-1
Msantd2	-1
Mios	-1
Pop1	-1
